@relation mydata-weka.filters.unsupervised.attribute.Remove-R5-6-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R7-8-weka.filters.unsupervised.attribute.Remove-R8-9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R1

@attribute GP numeric
@attribute PTS numeric
@attribute FG. numeric
@attribute X3P. numeric
@attribute FT. numeric
@attribute REB numeric
@attribute AST numeric
@attribute STL numeric
@attribute BLK numeric
@attribute TOV numeric
@attribute TARGET_5Yrs numeric

@data
82,12.8,60,0,62,6.8,1.4,0.4,0.5,2.3,1
82,9.3,46.7,22.2,65.7,6.4,0.4,0.4,0.6,1.3,1
75,7.1,54.3,0,73.7,5.2,0.7,0.6,0.4,1.1,1
79,9.2,49.8,36.4,73.4,3.4,3.5,1.6,0.3,2.1,1
78,9.3,55.7,0,71.5,5.1,1,0.2,0.4,1.5,1
78,8.4,52,0,64.8,5.1,1.6,0.6,0.8,1.8,1
78,8.4,52,0,64.8,5.1,1.6,0.6,0.8,1.8,0
78,8.4,52,0,64.8,5.1,1.6,0.6,0.8,1.8,0
29,3.7,31.7,31.1,50,1.4,1.4,0.6,0.2,1,1
29,3.7,31.7,31.1,50,1.4,1.4,0.6,0.2,1,0
29,3.7,31.7,31.1,50,1.4,1.4,0.6,0.2,1,0
72,5.8,45.4,0,85.9,3,1.5,0.4,0.1,1.3,1
82,6.6,46,0,67.8,3.5,1.9,0.7,0.1,1.4,1
62,8,52.8,33.3,78.9,3.7,1.3,0.5,1.3,1.7,1
78,7.1,45.3,35.1,75.4,1.9,3.1,1,0.1,1.4,1
75,6.8,47,0,47.4,4.4,0.5,0.5,0.5,1.9,1
82,5.6,47.1,18.2,73.6,1.3,5.1,1.3,0.1,1.8,1
74,7.1,45.9,16,81,1.5,1.7,0.6,0.2,1.1,0
74,4.4,46,18.8,71.1,1.8,2.9,1,0.2,1.3,0
54,5.5,49.8,0,54.1,4.9,0.3,0.4,0.3,1.2,1
74,5.1,47.8,0,73.3,3.6,0.5,0.2,0.2,1,0
36,5.8,43.1,50,82,2.4,0.9,0.3,0.2,0.9,1
78,4.9,49.2,0,66.9,3.3,1.3,0.4,0.2,1.3,1
67,3.7,58.9,0,39.8,3.6,0.8,0.5,0.8,0.9,0
59,5.1,41.6,0,70.6,2.1,1.4,0.3,0.2,1.3,0
77,6.1,47.8,0,64.6,2.7,0.8,0.6,0.4,0.9,1
53,1.5,32.6,0,56.4,3.1,0.4,0.2,0.8,0.8,0
60,3.2,48.6,?,75.8,2.5,0.5,0.2,0.5,1.2,1
56,5.6,49.6,0,80,1.6,0.4,0.5,0.1,1.2,1
63,4.1,38.3,22.2,75.5,1,1.4,0.5,0.1,1.1,0
66,3.8,39.7,25,70.7,2,0.4,0.2,0.2,0.8,0
51,3.8,44,0,75,1.6,0.7,0.2,0.2,0.6,0
60,3.4,36.7,0,50.9,1.6,0.4,0.4,0.1,0.7,0
59,3.3,37.3,0,76.5,1.3,0.9,0.5,0.2,0.6,1
51,4.5,48.2,0,64.2,1.4,0.3,0.2,0.3,0.7,0
47,4.2,38.3,0,68.8,0.6,0.4,0.5,0.1,0.7,0
38,3.2,37.3,13.3,69.2,0.5,1.2,0.2,0,0.7,1
43,2.1,41.5,0,52,1.4,0.6,0.2,0.1,0.4,0
39,1.3,41.2,?,50,1.9,0.3,0.2,0.3,0.4,0
39,3.3,41.9,36.4,67.7,0.9,0.7,0.1,0.1,0.8,0
38,1.8,38.8,0,88.2,0.6,0.7,0.1,0,0.5,1
82,21,52.3,25,66.1,11.1,2,0.8,2.4,3.6,1
81,12,48,18.8,75.3,6.9,2.1,0.9,0.8,2,1
80,8.4,46.9,0,73,2.5,8.3,1.5,0.2,3.4,1
79,10.8,49.9,25,73.1,5.7,2.2,0.7,0.7,1.5,1
52,4.2,35.6,24.5,63.8,3,0.3,0.4,0.1,0.9,1
82,12.4,44.8,24.1,74.2,4,2.3,1.3,0.1,1.7,1
81,8.5,51.2,0,75.2,5.7,1.6,0.5,1.5,1.3,1
81,12.1,44.4,32.4,82.6,1.9,1.9,0.3,0.2,1.4,1
81,9.3,46.2,16.7,78.5,2.7,3.9,1.6,0.4,2.1,1
80,5.5,49.6,0,59,6.2,0.9,0.4,1.8,1.4,1
74,10.6,48.4,23.5,80.6,2.2,2.4,1.1,0.3,1.6,1
82,9,46.7,23.1,77.2,3.8,1.5,0.8,0.5,0.9,0
82,5.7,44.3,11.5,67.3,2.1,2.9,1.2,0.3,1.4,1
79,7.3,53.6,25,83.7,3.8,1.2,0.7,0.5,1.3,1
80,8.3,44.8,26.2,78.7,1.5,2.2,0.7,0.1,1.4,0
31,3.1,45.8,0,65.6,4.1,0.2,0.2,0.7,0.6,0
73,6.9,44.5,24.3,88.9,1.2,3.3,0.4,0,1.1,1
82,7.7,45.1,25,72.8,2.9,1.9,1.3,0.3,1.5,1
72,6.3,46.4,9.1,72.7,2.1,1.8,0.8,0.1,1,0
82,7.9,41.7,26.7,79.1,2,3.5,1.6,0.2,2.4,1
78,4.2,41.3,11.1,77.7,1.6,3.4,1.2,0.1,1.4,0
67,8.2,45.6,41.4,71.9,3.7,0.8,0.6,0.1,1.2,1
75,6.1,44.1,0,71.4,2.5,2.3,0.5,0.2,1.3,1
78,4.5,50.3,40,60.9,0.9,0.9,0.2,0,0.4,1
49,5.2,43.9,0,71.4,3.6,0.5,0.4,0.3,1.2,1
78,3.6,51.7,0,60.8,2.9,0.8,0.3,1.1,0.8,1
38,5.3,41.6,37.5,67.6,1.3,0.7,0.4,0.1,0.9,0
55,6.2,45.9,26.3,77,1.6,1.3,0.3,0.1,0.8,0
40,6.5,50.9,0,85.1,1.2,1.2,0.5,0,0.8,0
47,2.7,38.8,0,70,2.4,0.9,0.2,0.4,0.7,0
45,3.3,41.9,12.5,82.1,0.9,0.9,0.3,0,0.7,1
49,2.9,44.5,18.2,61.5,0.7,3,0.2,0,0.7,1
48,4.5,49.7,0,61.5,1.2,0.8,0.5,0.4,1,0
39,3.1,54.4,0,53.8,2.9,0.5,0.5,0.3,0.5,0
57,2.9,38.4,0,69.6,1.9,0.3,0.2,0.7,0.6,1
57,2.1,39.7,23.1,78.3,1,0.8,0.4,0,0.4,1
33,4.1,37.3,29,62.5,2.2,2.4,1,0.3,1.2,0
53,3.4,37.9,36,93.8,2.5,0.4,0.3,0,0.2,0
15,1.9,27,0,66.7,1.5,0.5,0.1,0.1,1,0
45,3.7,57.1,0,41.8,1.8,0.5,0.3,0.2,0.4,0
55,2.7,44.8,0,64.3,0.9,0.8,0.3,0.1,0.6,1
35,1.9,45.5,0,31.3,1.8,0.2,0,0.1,0.6,1
70,23.7,52.3,0,70.9,10.6,2.5,1.8,0.9,2.9,1
81,20.1,47.9,22.2,74.1,10.6,2.8,1.7,0.5,2.7,1
76,15.1,46.6,20,73,3.4,3.7,0.9,0.1,2.7,1
82,10.3,44.8,31.7,79.2,4.5,2.1,0.8,0.8,1.6,1
76,9.9,45.2,22.2,72.3,1.6,3.6,1.1,0.1,2.1,1
58,3.3,53.5,0,71.2,2.6,0.4,0.3,0.9,0.3,0
77,13.4,57.9,25,62.4,5.2,1.7,1.2,0.8,2.3,1
78,8.4,46.2,46.7,67.2,2.8,2.5,0.7,0.1,0.9,1
73,10.4,42.8,34.5,69.6,2.7,2.1,0.7,0.3,1.9,1
80,5.1,46.2,0,69,4.1,1,0.4,0.6,1.7,1
82,4.4,59.5,0,61.4,5.9,0.8,0.8,0.1,0.6,1
74,7,40.8,13.3,75.3,1.8,4.9,1.2,0.2,2.5,0
82,9.3,48.7,12.5,81,1.5,2.6,0.6,0,1.9,0
79,6.7,45.7,11.1,59.7,3.6,2.6,1.3,0.6,2,1
51,2.8,42.2,20,64.2,2.1,0.5,0.5,0.2,0.7,0
75,4.9,47.9,0,69.9,2.9,3.4,1.6,0.1,1.3,1
81,4.3,41.4,0,65.6,5.7,1.4,0.3,3.4,1.7,1
75,6.3,53.3,0,74.1,5.4,1.4,0.6,0.9,1.1,0
44,3.6,40,0,65.2,1.8,2.5,0.9,0.3,1.4,0
77,6.1,43.1,34.4,72.8,1.9,0.8,0.6,0.2,0.6,0
43,4,38,0,73.7,1.6,2.9,0.5,0.2,1.6,0
76,8.1,42.9,40,83.3,1.8,1.8,0.8,0.2,1.4,1
78,5.2,40.4,36.8,69.6,3.5,1.5,0.7,0.3,1.2,1
77,6.2,47.6,25,73.5,3.3,0.8,0.3,0.3,1.1,0
68,5.7,43.2,0,76.2,1.4,2.5,0.8,0.1,1.7,1
52,3.7,45.5,13.9,67.3,1.7,0.4,0.4,0.2,0.8,0
62,5.6,48.5,0,57.1,3.7,0.8,0.4,0.6,1.2,1
71,5.4,51.2,0,65,5.3,0.5,0.6,0.9,1.4,1
53,4.9,53.4,0,77.4,3.4,0.9,0.4,0.2,0.8,0
44,2.8,31.4,0,78.3,2.7,0.8,0.3,0.2,0.7,0
68,2.7,36.4,11.1,81,1.1,1.9,0.2,0,1.4,0
68,2.7,36.4,11.1,81,1.1,1.9,0.2,0,1.4,1
49,4,43.5,14.3,57.7,1.5,0.7,0.4,0.1,1,1
54,3.3,44.5,0,47.1,2.2,0.5,0.3,0.2,0.5,0
52,3.2,42,0,57.1,2.5,0.3,0.1,0.6,0.4,0
62,4,47.7,14.3,76,1.2,1.1,0.4,0.1,0.9,1
65,5,54.3,0,64.2,1.6,0.5,0.3,0,0.8,1
40,1.9,48.5,15.4,70,2.4,0.4,0.5,0.3,0.5,0
55,4.5,44.9,36,73.7,1.2,0.6,0.3,0.1,0.6,0
48,3.2,40.6,0,67.8,1.6,0.6,0.3,0.2,1,0
23,1.3,36.7,0,45,2,0.5,0.1,0.3,0.7,0
63,3.6,37.4,22,64.4,1.1,0.8,0.6,0.1,0.7,0
44,3.3,41.5,0,66,0.9,0.8,0.5,0.1,0.9,0
54,1.5,40.4,0,31.3,1.9,0.2,0.1,0.3,0.4,1
39,2.2,37.5,14.3,56.3,0.9,0.4,0.2,0.1,0.5,1
36,2.2,45.3,0,44.4,2.1,0.2,0.1,0.1,1,1
31,1.2,34.2,0,55,1.3,0.1,0.2,0,0.3,1
35,2.9,36.1,9.1,66.7,0.5,0.6,0.1,0.1,0.4,0
82,21.6,49.6,22.7,79.7,5.4,3.3,1.1,0.2,3.4,1
82,15.5,58.2,0,62.4,12.3,1.3,1,1,2.9,1
72,17,42.4,28.8,70.4,2.9,7.8,2.1,0.2,4.2,1
81,17.2,52.5,0,62,6.9,1.8,0.7,0.6,2.7,1
81,21.4,49.7,25,71.6,7,2.2,1.1,0.3,2.4,1
51,18.7,46.5,35.2,68,4.9,3.2,0.7,0.4,2.6,1
82,11.5,47.7,28.6,67,7.4,1.7,0.7,2.2,1.7,1
82,14.4,56.1,33.3,75.2,9.3,1.6,0.5,0.7,2.9,1
79,10.7,41.4,21.5,75,1.9,4.8,1,0.1,2,1
80,8.3,44.1,0,70.3,3.8,2.4,0.9,0,1.4,1
78,12.8,61.3,0,64.2,5.9,1.2,0.5,1.1,2.5,1
76,12.1,48.2,23.1,77.8,4.1,1.9,0.8,0.5,2.4,1
80,9.6,47.7,0,68.4,5.1,1.8,0.7,0.2,1.3,1
74,9.3,45.9,9.1,66.4,4.4,1.5,0.7,0.2,1.3,1
74,9.3,45.9,9.1,66.4,4.4,1.5,0.7,0.2,1.3,1
82,7.9,48.1,0,75.7,5.2,1.8,0.6,0.9,1.8,1
79,7,43.4,0,77.5,3.3,0.6,0.5,0.3,1.4,0
59,6.1,55.6,?,55.1,5.2,0.6,0.8,1.3,1.1,0
64,4.6,51.8,0,50.4,5.4,0.9,0.9,1.2,1.2,1
63,5.3,46.1,?,58.3,4.7,1,0.3,1.3,0.9,1
71,4.9,50.3,?,70.8,3.6,0.7,0.6,0.3,0.8,1
82,6.4,41.3,0,76,1.8,3.3,1.1,0,1.6,1
63,6.3,45.3,28.1,72.6,1.9,2.5,0.8,0.2,1.3,0
64,7,46.5,30.5,65.7,1.4,2.3,0.8,0.1,1.4,0
71,6.9,46.4,0,72,2.7,1.2,0.5,0.4,1,0
75,7.3,51.3,0,69.9,3,1.1,0.3,0.3,1.4,1
80,4.5,51.9,0,52,4.8,1.1,0.2,1.5,1.6,1
80,6.6,52.1,0,64.1,3.2,1,0.5,0.9,1.3,1
77,4.9,54.6,0,60.1,2.6,0.7,0.4,0.3,0.9,1
49,3.9,43.5,0,59.4,1.6,0.8,0.4,0,0.5,0
24,2.3,31.6,28,73.3,0.6,1.4,0.4,0,0.8,0
72,2.9,50.9,?,45.9,2.5,0.6,0.3,0.7,0.7,0
54,4.6,51,0,82,1.2,0.5,0.3,0,0.8,1
49,4.6,45.9,22.2,64.3,0.8,1.4,0.5,0,1.1,0
46,2.9,58.3,50,82.5,1.3,0.8,0.4,0.1,0.8,0
54,3.8,47.8,0,81.1,2.5,0.6,0.2,0.2,0.8,0
53,4.1,35.7,29.4,86.2,1.1,1.6,0.7,0.1,1,1
39,4.9,46.5,0,58.5,1.3,0.4,0.5,0.1,0.9,1
43,3.4,54,66.7,50.7,0.7,1.3,0.4,0.1,1,0
39,3.5,52.4,0,60.4,1.7,0.3,0.3,0.1,0.7,0
43,2.7,35.5,30.1,77.8,1.3,0.3,0.2,0,0.3,0
42,3.4,45.8,0,65.4,1.5,0.2,0.2,0.1,0.4,0
42,3.6,43.3,0,74.1,0.6,1.1,0.4,0.1,0.6,1
49,3.1,44.4,0,73.2,1.5,0.1,0.1,0,0.4,0
51,3,45.1,0,67.7,0.7,0.4,0.3,0.1,0.7,0
36,1.9,32.2,0,64.7,0.8,0.4,0.3,0.1,0.6,1
82,18.9,49.1,0,71.6,9.3,1.4,0.6,1.5,3,1
81,20.6,46.4,19.2,71.6,3.6,2.4,1.3,0.5,2.9,1
82,9.6,51.2,0,58.8,12.1,1.1,0.8,0.8,1.8,1
79,11,48.6,27.8,63.7,6.1,3.2,1.1,0.3,1.9,1
80,15.2,45.2,9.7,74.9,2.4,6.9,1.1,0.1,2.9,1
33,5.3,37.1,17.4,86,1.6,2.8,0.4,0,1.5,0
37,2.1,36.3,19,66.7,1.5,0.3,0.2,0,0.4,0
81,9.8,50.3,0,76.5,8.6,2.7,0.7,1,1.6,1
82,14.7,47.9,0,70.6,5.4,2.5,1.2,0.4,2,1
56,13.2,42.3,0,76.7,7.5,1.3,1,1.8,2.3,1
81,11.2,46.8,24,73.3,2.9,3.7,1.7,0.4,2.2,1
75,12.9,49.5,31,71.2,1.9,3.6,0.8,0.1,2.9,1
68,8.4,46,0,69.9,6.7,1.5,0.5,0.3,1.8,0
70,6.1,45.3,33.3,80.6,3.8,1.9,0.7,0.1,1.3,0
81,11.5,44.4,0,77.6,3.3,2.3,1.3,0.3,2.1,1
82,10.5,49.1,0,80.7,4.4,1.6,0.7,0.3,1.5,1
79,10.2,49.9,0,66.3,4.5,1,0.6,0.6,1.6,0
76,6.6,40.7,23.5,79.7,1.6,3.3,1.2,0.1,2.2,1
76,6.6,40.7,23.5,79.7,1.6,3.3,1.2,0.1,2.2,0
82,10,53.3,0,67.9,4.4,0.7,0.3,1.8,1.3,1
71,7,44.4,14.8,75,2.4,3.2,0.9,0.2,1.5,0
81,7.9,46,0,72.9,3.6,1.4,0.6,0.3,1.8,0
82,7.4,47.9,5.3,61,2.4,4.5,1.5,0.3,1.9,1
56,4.7,45,?,67.5,4.9,0.7,0.6,0.8,1.1,1
82,8.1,51.1,23.5,89.9,1.6,2,0.9,0.1,1.2,1
74,5.4,47.8,20,79.3,2.1,1.5,0.8,0.3,1.1,1
28,1.7,42.5,30.4,85.7,1.5,0.4,0.2,0.1,0.5,0
60,8.7,52.9,0,67,4.4,0.7,0.6,1.4,1.7,1
64,3.7,49.5,0,75,1.8,1.8,0.9,0.1,1.4,0
68,5.3,54.2,0,59.4,4.5,0.6,0.1,1.1,1,1
65,3.9,45.2,32.6,72.9,2,0.7,0.3,0.7,0.9,1
53,4.1,41.2,33.3,68.3,1.1,2.6,0.5,0.1,1,1
52,4.8,50.7,0,67.5,4.1,0.5,0.4,0.8,0.7,1
45,4,51.2,0,76.2,3.7,0.5,0.2,0.3,0.7,1
54,5.6,46.2,30,73.7,1.2,1,0.4,0,0.9,1
81,4.7,44.2,20,76.6,1.2,0.9,0.4,0.1,0.7,1
40,1.8,32.7,0,55.6,0.9,1.4,0.5,0.1,0.9,0
48,4.1,46.2,0,69,2,0.6,0.5,0.3,0.7,0
37,3.9,46,27.3,65,1.4,0.2,0.2,0,0.4,0
44,4.9,41.8,16.7,66.7,3,0.2,0.3,0.1,0.7,0
55,4.3,45.7,0,60.3,2.5,0.5,0.3,0.1,1.1,0
52,4.2,45.4,0,51.6,3,0.5,0.4,0.4,0.6,1
59,3.2,45.4,0,56.4,1,1.2,0.6,0.1,1.3,0
47,2,35.8,0,78.1,0.9,1.5,0.5,0,0.6,1
60,2.8,33,0,73.9,1.2,1.3,0.4,0,0.6,0
55,2.7,41.2,0,43.5,1.7,0.3,0.4,0.4,0.6,0
44,2.6,34.8,50,45.9,1.3,0.3,0.2,0,0.6,0
51,2.7,43.4,41.7,59,0.9,1,0.4,0,0.7,0
31,2.3,35.5,29,75,1.2,0.3,0.1,0.1,0.2,0
82,19,42.9,36.8,84.4,3.1,6.5,0.9,0.2,3,1
56,13.9,41,38.6,78.6,3.8,2.4,0.9,0.5,1.6,1
33,3,31.8,16.7,52.9,1.4,2.5,0.4,0.1,0.7,0
64,13.5,51.6,0,75.1,8.2,1,1.2,1.8,1.4,1
61,14.7,41.2,31,74.6,2.4,3,1,0.3,2,1
82,8.8,42.8,35,80.6,4,0.9,0.7,0.5,1.2,1
77,7.9,43.8,0,76.4,5.7,1.2,0.5,0.9,1.2,1
76,8.2,46.1,27.4,57,4.4,0.7,1.2,0.8,0.9,1
78,9,45.8,22.2,74.9,5.8,1.5,0.7,0.9,1.3,1
81,9.2,43.9,35.9,75.8,4.1,1.2,0.6,0.2,1.3,1
61,6.2,37.2,32.6,54.6,1.8,2.1,0.4,0.1,1.2,1
12,4.7,35.8,32.3,66.7,2.6,1.3,0.9,0.2,0.6,0
60,7.9,60.8,50,37.1,7.6,0.5,1,1.6,0.9,1
45,6,49.3,20,74.6,5.9,0.8,0.5,0.5,0.6,0
69,5.5,54.5,42.9,80.9,3.7,0.5,0.2,0.6,0.7,1
41,5.6,41.8,37.5,82.9,2.7,2.9,0.9,0.5,1.1,1
78,5,38.4,32.8,64.4,2.4,1.2,0.8,0.2,0.6,1
78,7.1,41.7,38.6,90.9,1.2,2.8,0.5,0,0.9,1
73,6.4,40.7,33.2,71.4,2,0.7,0.6,0.2,0.7,1
56,8.7,47.9,42.1,75.9,2.1,0.5,0.3,0.2,0.9,0
70,4.8,43,0,52.3,4.5,0.7,0.6,0.4,1.3,1
61,6.1,44.6,38.4,84.3,1.5,0.9,0.2,0.2,0.7,1
48,3,37.1,31.5,57.1,0.9,3,0.5,0.1,1.2,0
79,2.9,32.7,20.9,81.8,3.3,0.7,0.5,0.3,0.7,1
52,2.3,40.7,39.3,100,1.5,0.8,0.3,0.2,0.4,0
63,6,48.2,0,53.3,4.7,0.5,0.3,0.7,0.8,1
11,4.8,41.5,20,88.9,0.9,0.8,0.5,0.1,0.2,0
63,3.7,43.6,25.7,66.7,1.7,0.3,0.3,0.3,0.5,0
47,3.3,36.8,37.8,58.8,1,0.7,0.3,0,0.6,0
73,4,38.2,13.8,76.9,2,0.8,0.5,0.1,0.8,1
51,4,40,38.3,71.9,2.2,0.9,0.2,0.2,0.6,0
47,3.7,58.2,0,64.3,3.1,0.2,0.4,0.2,0.4,0
57,4.1,51.3,0,66.7,3.7,0.9,0.2,0.5,0.7,1
46,2.8,51.5,0,61,2.8,0.1,0.3,0.8,0.4,0
41,2.9,37.5,28,72.4,0.9,0.6,0.4,0.1,0.5,0
30,5.8,40,32.5,72.4,3.5,1.5,0.7,0.3,0.7,0
40,4.6,47.6,0,76.8,2.8,0.3,0.1,0.1,0.5,1
48,2.1,38.1,17.4,56.3,0.9,1.3,0.2,0.1,0.7,0
35,2.6,38.4,25,72.4,0.8,1.2,0.2,0.1,0.8,0
27,2.8,29.5,22.6,89.5,0.3,1,0.2,0,0.6,0
23,3.1,35.3,30,100,0.8,0.2,0.1,0.1,0.3,1
66,12.8,41.5,38,75.9,3.2,3.8,0.7,0.1,2.6,1
56,12.6,42.8,31.3,76.4,3.6,2.3,0.9,0.3,2.1,0
59,9.5,40.1,30.6,79.8,3.2,2.8,1.7,0.1,1.9,1
63,9.5,45.2,33.7,55.1,4.8,2.1,1.2,0.5,1.3,1
66,12.1,36.6,30.5,78.9,3.5,4.4,0.9,0.3,1.8,1
65,11.5,44.8,37.9,83.2,2.6,4.1,0.8,0.1,1.6,1
66,12.5,44.3,41.4,86.8,2.4,2,0.7,0.3,1.6,1
64,7.9,49.3,37.6,77.3,5.1,1.1,1.3,0.4,0.7,1
22,3.5,31.3,11.1,82.1,1.5,2.1,0.6,0.3,1.3,0
46,10.2,58.6,0,66.5,7.7,0.8,0.7,1,1.2,1
66,4.6,37.2,34.6,68.2,3.5,0.7,1.1,0.5,0.6,0
66,8.8,41.2,26.8,69.7,4.7,0.6,0.5,0.5,1.2,1
33,5.5,39.9,8,76.7,2,3.2,0.4,0.1,1.5,1
63,7.4,39.9,34.7,71.7,4.4,1,0.7,0.7,1.1,1
65,6.8,39.3,27.6,77.6,1.4,2,0.7,0,1.6,1
61,7.6,38.6,36.1,83.3,1.2,1.8,0.5,0.1,1.1,1
51,5.8,44.7,15,87.2,1.3,3.3,0.7,0.1,1.2,0
34,4.9,44.6,31.6,63.2,1.8,0.6,0.3,0.3,0.6,0
56,6.4,51.3,33.3,72,4,0.6,0.8,0.3,1.2,0
59,7.2,42.9,33.3,72.7,2.2,0.9,0.5,0.1,0.9,1
41,4.1,47.3,0,78.6,4.2,0.8,0.3,0.4,0.5,1
42,4,45.2,0,83.9,3,0.3,0.2,0.2,0.6,1
43,4.6,50.7,0,65.2,3.6,0.3,0.5,0.3,0.5,0
37,4.4,42.3,33.9,61.5,3.9,0.3,0.6,0.5,0.5,0
55,2.9,54.5,0,70.7,3.2,0.5,0.7,1.6,0.6,0
42,4.9,42.1,0,55.8,3.3,0.4,0.4,0.5,0.9,0
19,3.3,39,20,82.4,1.4,1.6,0.4,0.2,0.9,0
44,3.8,37.2,28.9,71.4,1.3,1.4,0.4,0.1,0.9,0
64,3.6,40,28.6,71.2,1.4,2,0.4,0,0.8,1
46,4.7,50.8,33.3,75,2.6,0.5,0.3,0.4,0.4,1
42,5,46.7,26.1,81.5,2.4,0.5,0.3,0.2,0.7,1
38,3.9,32.5,20,70,0.9,0.9,0.1,0.2,1,0
40,4.4,39.1,37.3,91.7,0.8,0.5,0.1,0,0.5,0
26,4.4,43.2,36.2,40,2.4,0.8,0.1,0.1,0.6,1
26,2.2,42.4,0,50,2.2,0.2,0.1,0.8,0.3,0
26,2.8,38.9,37.5,50,1,1,0.4,0.3,0.6,0
44,2.9,33.3,26.3,59.3,0.8,1.3,0.3,0,1.1,0
38,2.9,38.1,37.8,100,0.9,0.9,0.3,0.1,0.6,1
42,2.6,40.5,18.2,76.8,1.3,0.3,0.3,0.1,0.3,1
36,3.2,44.6,0,66.7,1.6,0.2,0.1,0.4,0.4,0
82,22.5,50.6,29.2,64.2,12.1,3.8,0.8,0.6,2.7,1
69,16.4,40.9,29.6,76.6,4.6,8.3,1.8,0.5,3.8,1
82,9.7,49.7,39.3,76.9,6.4,1.9,1,0.2,1.3,1
81,14.1,43,16.7,68.7,8.6,2.5,1.1,0.8,3.3,1
80,9.4,55.1,0,62.2,7.5,1.3,1.2,0.6,1,1
79,9,39.7,35.6,69.6,3,1.9,0.7,0.7,1.2,1
65,7.7,57.6,0,55.5,7.1,0.6,0.6,1,0.7,1
42,11.7,38.4,25.8,86.9,2.5,2.8,0.9,0.1,2,0
78,7.2,42.5,31.8,80.8,3.9,2,0.6,0.2,1,1
81,6.7,42.4,27.6,74.4,2.8,3.6,1.1,0.3,2.4,1
80,9.8,45.1,41.9,80.8,2.5,1.2,0.3,0.1,1,1
61,7.8,45.3,29.7,76.2,3.7,1.1,1,0.4,1.1,1
78,6.8,51.7,0,59.5,5.3,0.5,0.4,0.9,1,1
15,5.4,43.5,44.4,76.7,1.3,1.9,0.4,0.2,0.7,0
81,5.6,39.4,31.5,77.3,3.3,0.7,0.7,0.3,1.3,1
58,4.1,43.7,0,65.6,3.1,0.7,0.4,1.5,0.8,1
54,5.9,37.4,37,76.3,2.6,1.6,0.6,0.1,1.2,0
72,5.4,48.5,47.3,71.1,1.9,1.1,0.4,0.3,1,1
52,6.3,55.8,0,71.4,3.8,0.8,0.3,0.7,0.6,1
65,5.3,54.9,0,67.3,3.9,0.5,0.5,0.7,0.6,1
60,4.3,43.3,0,56,3,0.3,0.4,1.2,0.6,1
49,3.9,38.3,24.2,73.1,2.9,0.6,0.3,0.3,0.3,0
66,2.8,40.6,36,70.6,1.3,0.4,0.3,0.1,0.2,1
42,3.8,42.4,37.5,58.9,1.5,1.6,0.3,0.2,0.6,0
43,2.3,37.4,30,57.1,1.1,1.8,0.4,0.1,0.8,1
42,3.8,35.7,28.3,78.6,1.7,0.7,0.3,0.2,0.5,0
49,3.6,66.1,0,70.3,2,0.5,0.3,0.3,0.4,1
18,1,53.3,0,50,1.9,0.2,0.3,0.4,0.4,1
38,2.9,45.5,41.7,59.1,0.9,1.2,0.1,0,1,0
22,2.3,35.6,10,53.3,1,1.1,0.2,0.1,0.8,0
41,2,48.5,0,73.9,1,0.2,0.1,0.2,0.5,0
72,20.1,45.8,25.5,74.8,5.3,5.8,1.5,0.4,3,1
80,17.5,46.2,43.7,88.5,4.5,5.9,1.9,0.2,3,1
82,15.5,37.1,37.4,81.7,3.4,5.7,1.3,0.2,2.4,1
22,2.5,27.7,26.2,87.5,1.6,0.5,0.3,0.1,0.4,0
81,13.5,41.7,35.8,82.6,2.4,4.4,1,0,2.9,0
76,12.4,47.7,40,85.1,2.5,5.7,1,0.1,2.7,1
82,9,49.4,0,64.6,7.5,0.9,0.6,1.3,1.4,1
73,14.5,45.1,37.4,81.4,2.9,1.6,0.8,0.1,1,1
82,9.4,48.3,38.2,82.9,2.3,1.5,0.8,0.2,1.1,1
73,8,44.2,39,75.6,2.6,3.8,1.1,0.3,2.1,1
76,9.9,40.3,37.5,80.8,3.2,1.8,1.1,0.3,1.4,1
78,8.4,40.1,31,71.5,4.5,2.9,0.6,0.1,1.6,0
20,3.4,39.3,29.2,85.7,2,0.7,0.3,0.3,0.7,0
77,8.6,49.8,25,76.3,2.9,0.7,0.6,0.2,0.8,1
65,8.3,51.5,41,75.7,1.9,3.1,0.7,0,1.3,1
74,8.9,44.1,36.9,77,3,1.2,0.5,0.1,0.7,1
56,8.6,45.8,38.9,80.9,1.9,2,0.8,0.1,1,1
82,7.8,55.6,0,54.7,6.4,0.8,0.6,0.5,1.4,1
76,6.6,42.4,39.5,87.1,2.1,1,0.3,0.1,1,1
80,7.4,45.1,19.6,77.7,2.5,0.7,0.4,0.3,1.2,0
81,4.7,41.8,31,72.2,1.6,3.3,0.5,0.1,1.1,1
56,7.3,41,34.5,80,1.6,1.9,0.6,0.1,1.1,1
82,18.3,54.2,34.1,81.1,10.5,2,0.7,1.7,2.2,0
47,5.2,49.3,0,67.6,3.7,0.4,0.3,0.5,0.6,1
69,5.1,46.4,30.5,82.1,2.5,0.5,0.4,0.4,0.7,1
60,4.5,50.2,0,75.4,2.8,0.6,0.2,0.6,0.5,0
52,2.8,53.4,0,59.7,4.1,0.4,0.3,0.1,0.4,0
27,5,43.6,35.1,70,1.1,0.8,0.5,0.2,1,1
