@relation 'tripadvisor_review-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-3,5-7,9-10_clustered'

@attribute Instance_number numeric
@attribute 'Category 4' numeric
@attribute 'Category 8' numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
913,0.67,2.78,cluster2
914,0.91,2.87,cluster1
915,1.37,2.75,cluster0
916,0.8,2.54,cluster2
917,0.34,3.13,cluster1
918,0.27,2.86,cluster1
919,0.47,2.58,cluster2
920,0.64,2.9,cluster1
921,0.32,2.99,cluster1
922,0.54,2.86,cluster1
923,0.55,2.89,cluster1
924,0.45,2.87,cluster1
925,0.77,2.73,cluster2
926,0.51,2.81,cluster2
927,0.51,2.62,cluster2
928,0.57,2.81,cluster2
929,0.5,2.97,cluster1
930,0.45,2.8,cluster2
931,0.55,2.98,cluster1
932,0.3,2.66,cluster2
933,0.39,2.98,cluster1
934,0.53,2.86,cluster1
935,0.42,2.7,cluster2
936,0.43,2.98,cluster1
937,0.53,2.79,cluster2
938,0.51,2.82,cluster2
939,0.42,2.72,cluster2
940,0.46,2.91,cluster1
941,0.55,2.88,cluster1
942,0.43,2.7,cluster2
943,0.47,2.77,cluster2
944,0.55,2.96,cluster1
945,0.49,2.83,cluster2
946,0.22,2.74,cluster2
947,0.57,2.79,cluster2
948,0.46,2.9,cluster1
949,0.95,2.54,cluster2
950,0.18,2.66,cluster2
951,0.51,2.74,cluster2
952,0.56,2.81,cluster2
953,0.98,2.78,cluster2
954,1.12,2.7,cluster2
955,0.65,2.62,cluster2
956,0.57,2.82,cluster2
957,0.34,2.66,cluster2
958,0.4,2.8,cluster2
959,0.62,3.18,cluster1
960,0.61,2.72,cluster2
961,0.41,2.98,cluster1
962,0.42,2.82,cluster2
963,0.62,2.81,cluster2
964,0.62,3.07,cluster1
965,0.38,3.19,cluster1
966,0.4,2.74,cluster2
967,0.54,2.85,cluster1
968,0.73,2.77,cluster2
969,0.61,2.57,cluster2
970,0.47,2.7,cluster2
971,0.55,2.86,cluster1
972,1.55,2.82,cluster0
973,0.48,2.78,cluster2
974,0.47,2.66,cluster2
975,0.53,2.78,cluster2
976,0.38,2.79,cluster2
977,0.43,2.81,cluster2
978,0.43,2.98,cluster1
979,0.51,2.87,cluster1
